epoch,loss,rs_mean,qos_violation_mean,outage_proxy_mean,ee_mean,lr,sec
1,0.14938837436079247,0.014832783100974935,0.0,0.8602967377454956,0.004218018643086455,0.0009996192328520959,13.239961862564087
2,0.14952340770078584,0.014729391620884918,0.0,0.860233031990338,0.004291141801526415,0.0009979134716079636,14.097071409225464
3,0.1495473150712398,0.014724945930046496,0.0,0.8603585353292571,0.0043697647744628245,0.0009948429641476934,13.432024717330933
4,0.14873800567277004,0.0151920892741026,0.0,0.8597904007676189,0.004319439828895576,0.0009904161265188059,12.55519437789917
5,0.14916145200469744,0.014941511192411919,0.0,0.8600344624987409,0.0043317692947035255,0.00098464509237554,12.510910749435425
6,0.1492629604859769,0.014881446516879941,0.0,0.8600806051785229,0.004309941197299778,0.000977545679721338,12.404915571212769
7,0.1496087300242639,0.014687056807181307,0.0,0.8603239762453945,0.0042548338895256315,0.0009691373475528127,12.466952562332153
8,0.15030918612024902,0.01430209322724207,0.0,0.8609060539972563,0.004188880917285006,0.0009594431425239819,12.469399213790894
9,0.1501419572788148,0.014381037870356756,0.0,0.8606196809217243,0.0041042571070417895,0.0009484896357769956,12.799669027328491
10,0.14993515776390312,0.014490122884553869,0.0,0.8604845902853948,0.0042657938344159855,0.0009363068501124765,12.710900783538818
11,0.14973352604939894,0.014634462151594162,0.0,0.8605437779719113,0.004235399086113222,0.0009229281776991158,12.623352527618408
12,0.1509991887888294,0.01392798304993327,0.0,0.8615135417028439,0.004115481619458214,0.0009083902885480595,12.413388967514038
13,0.15092563126350472,0.013944062220616782,0.0,0.8612599348180865,0.0041026559702841015,0.000892733030002954,12.535084247589111
14,0.14997910424792693,0.014486147744288575,0.0,0.8606599506242144,0.004236678581142061,0.0008759993175211506,12.464743614196777
15,0.1491182896714269,0.014954075890141753,0.0,0.8598999835413658,0.004305966589791899,0.0008582350170454141,12.536910772323608
16,0.14972313139244822,0.014635407349016877,0.0,0.8604892567257209,0.0042161222147325565,0.0008394888192885644,12.401766061782837
17,0.15026102682427028,0.014296491855448798,0.0,0.8606248897460341,0.004192164983959061,0.0008198121062756228,12.399675130844116
18,0.15077187710561635,0.014047692384301296,0.0,0.8612985883388051,0.004163054430873973,0.0007992588105092473,12.5134859085083
19,0.14992715246929714,0.01453258275040967,0.0,0.860726179155104,0.0041921196636679715,0.000777885267144492,12.436389446258545
20,0.15111244524731957,0.013859447909173945,0.0,0.8615039566908878,0.003991778232937573,0.0007557500595780616,12.446146249771118
21,0.1508300212537584,0.014012151208863944,0.0,0.8612768379457157,0.004071228238983701,0.0007329138588752966,12.415849208831787
22,0.1499955383660786,0.014462839869139443,0.0,0.8605328332975598,0.004167717081915287,0.0007094392574749984,12.459835529327393
23,0.14992825764637052,0.014499143134798926,0.0,0.8605294295249541,0.004289175051350609,0.0006853905976279049,12.433820486068726
24,0.14949291062318473,0.014759158819482327,0.0,0.8602917245560628,0.004266994142657933,0.0006608337950390555,12.609241724014282
25,0.15002534642495627,0.014464299440820847,0.0,0.8606955835972827,0.004173244779929061,0.0006358361581974236,12.53273344039917
26,0.1497397871882272,0.014614638949505139,0.0,0.8604293599084842,0.0042412999870167145,0.0006104662038880301,12.499760389328003
27,0.14868497875936193,0.015192401533379704,0.0,0.8595992674125484,0.00446275908343743,0.0005847934693921918,12.49940299987793
28,0.15149158622178197,0.013628018932410505,0.0,0.8616738775573625,0.004011646661944313,0.0005588883218906684,12.471547603607178
29,0.1501975287140513,0.014365677256662995,0.0,0.8608020250599808,0.004143637186591773,0.00053282176559212,12.656006574630737
30,0.14947013955768998,0.01474776971496837,0.0,0.8601535783589251,0.004389245342223241,0.0005066652471154984,13.129302978515625
31,0.15156178841470208,0.01360776361426121,0.0,0.8618455254958451,0.003956740921361214,0.00048049045965982916,12.441859006881714
32,0.15119732789512427,0.013824795925332945,0.0,0.8616805061972215,0.004015827299977437,0.0004543691464981384,12.514822721481323
33,0.14901728033333833,0.014994348938805264,0.0,0.8597243423659378,0.004360681152946587,0.000428372904334135,12.386894226074219
34,0.1496343571989814,0.014648339172536594,0.0,0.8601659486081703,0.004263270844729345,0.000402572987060614,12.383220911026001
35,0.15019596785169803,0.014382683230059874,0.0,0.8609572936055119,0.00421469125657382,0.0003770401104574907,12.44958233833313
36,0.1513959089168376,0.013688503558242289,0.0,0.8616309448436725,0.003975281384245831,0.0003518442583647666,12.432597637176514
37,0.1505609546313805,0.014159703004358431,0.0,0.8610815593252884,0.00415806321534672,0.0003270544908616849,12.541279077529907
38,0.15136263968617272,0.013690808059913394,0.0,0.8614986722637539,0.00400886328190584,0.0003027387549778566,12.377893209457397
39,0.14951572687210846,0.014737971224535722,0.0,0.8602612197764812,0.004295639736132557,0.0002789636984551723,12.545035123825073
40,0.15026837167975726,0.014310836727991091,0.0,0.8607701841124727,0.0041941316939606565,0.0002557944870709785,12.424221515655518
