epoch,loss,rs_mean,qos_violation_mean,outage_proxy_mean,ee_mean,lr,sec
1,-0.14355654887855052,0.19223340806551278,0.0,0.7373071664571762,0.02667873289552517,0.0009995028058981527,15.188230514526367
2,-0.14121808094903826,0.1906310810893774,0.0,0.7367614372819662,0.026237499135313556,0.0009980022050470104,15.227259397506714
3,-0.14702568780630826,0.1942538863606751,0.0,0.7351077141612768,0.02666404298855923,0.0009955011993191686,15.009387731552124
4,-0.14962405387312175,0.19575052862986922,0.0,0.7330690196156502,0.026120676756836474,0.0009919998159291395,16.63481044769287
5,-0.15321764016523956,0.19814148744568227,0.0,0.7330158667266369,0.026085843910695985,0.0009875076103864617,18.33324432373047
6,-0.15186936520040034,0.19712221407331526,0.0,0.7322858626395464,0.026432188921608032,0.0009820410803339946,14.992247581481934
7,-0.15069767393171787,0.1965298255905509,0.0,0.7334267315268517,0.025882844706065954,0.0009755975535060612,16.073181867599487
8,-0.15108865005895494,0.19663968623615802,0.0,0.7324155753850937,0.02612238419125788,0.0009681962364991372,15.926208257675171
9,-0.15388049313798546,0.19850041423924267,0.0,0.7322980358451605,0.02589481363422237,0.0009598520345806897,15.999056100845337
10,-0.15182413710281253,0.1971790175884962,0.0,0.7327009927481413,0.025958125116303563,0.000950581751862917,15.965022087097168
11,-0.14935602759942412,0.19570361006073653,0.0,0.7337282414734364,0.025462639920879156,0.0009404173376664084,17.591425895690918
12,-0.1536101252026856,0.1984117558412254,0.0,0.7328822293132543,0.025689398165559395,0.0009293538232056789,19.91382122039795
13,-0.15503428991883994,0.19912929904647172,0.0,0.7313268937915564,0.026057230358710513,0.0009174256472845498,16.92492651939392
14,-0.15533770283684134,0.19936347327195109,0.0,0.7315585070103406,0.026041974837426096,0.0009046897808708864,16.836411237716675
15,-0.15350925907492638,0.19830105145461857,0.0,0.7324890340864658,0.025554914637468756,0.000891108044117866,16.1832332611084
16,-0.15357431014999748,0.19819645090028642,0.0,0.7313509318977595,0.025498238862492143,0.0008767386678136817,16.01594352722168
17,-0.15684438172727824,0.20034543792717158,0.0,0.7312962833791972,0.025854842893313617,0.0008616299611478687,16.067246675491333
18,-0.15913706665858626,0.20164221226237714,0.0,0.7292195057868958,0.025176528504816817,0.0008458150587729855,15.988788366317749
19,-0.16165770795196294,0.20313697764649988,0.0,0.7278966753929853,0.02531580185517669,0.0008292649919501841,16.061136960983276
20,-0.16458103969693183,0.2049672849010676,0.0,0.7269704712927342,0.025242096080910416,0.0008120518292530453,16.119967222213745
21,-0.16400068959221245,0.204548020362854,0.0,0.7267470023036003,0.025280632798094303,0.0007942102357004693,15.9514319896698
22,-0.1672233920916915,0.20667809464968742,0.0,0.7266710684448481,0.02540466014877893,0.000775776141887464,16.259028434753418
23,-0.16489758349955083,0.20513077587820588,0.0,0.7264051911234856,0.02482461219886318,0.0007568107393471878,16.003453493118286
24,-0.16771014412865043,0.2068532946705818,0.0,0.7254055805504322,0.02511320961988531,0.0007373294460870926,16.030714988708496
25,-0.16648264221847056,0.20615608157590032,0.0,0.7262752912938595,0.025035815383307635,0.0007173461359937625,16.492688417434692
26,-0.16939572516828774,0.20791955307126045,0.0,0.7250361263751983,0.025236237009521573,0.000696925119707536,16.47538995742798
27,-0.16935873124748468,0.2079295548517257,0.0,0.7253237399458885,0.025291494248667733,0.0006761075224375339,16.341994047164917
28,-0.16480617742985487,0.20506236619316043,0.0,0.7263168802112341,0.024760079692350702,0.0006549352680541907,16.143146276474
29,-0.16872251626104118,0.20745556063018739,0.0,0.7248940540850163,0.02517989253392443,0.0006334780268361297,16.25348925590515
30,-0.1647335060685873,0.20505439062602818,0.0,0.726524665877223,0.024568573916330935,0.0006117253095975878,16.401106595993042
31,-0.16795530792325736,0.20699978804215788,0.0,0.7253519275039434,0.025260141503531487,0.0005897475924542151,16.148974418640137
32,-0.17014372078701853,0.20842098808847367,0.0,0.7250764673948288,0.02527535243309103,0.0005675891356034864,16.24542999267578
33,-0.1650002109259367,0.2051719315815717,0.0,0.7262040850520134,0.024831332098692656,0.0005452945632285919,16.478777408599854
34,-0.17064316529780627,0.20865568278357385,0.0,0.724237642288208,0.025071722872089596,0.0005229367940722702,16.268698930740356
35,-0.1677390743419528,0.20689185744151473,0.0,0.7253368794173002,0.024686670477967708,0.0005005048987335098,16.481974124908447
36,-0.1668203741312027,0.20635257497429849,0.0,0.725996717363596,0.024908573064021767,0.00047810000957687377,16.379183769226074
37,-0.16686167409643532,0.20625326136127115,0.0,0.7249232336133719,0.024664315381087362,0.0004557111741671429,16.391759157180786
38,-0.16789447939023375,0.20696466851979495,0.0,0.7252740061283112,0.025022815202828497,0.00043341153055856597,16.285095930099487
39,-0.1701274026185274,0.20838025072589517,0.0,0.7247255283594132,0.025021358081139623,0.0004112459872656759,14.772210359573364
40,-0.17178385613486172,0.20943347541615367,0.0,0.7246031413972378,0.025542738331714644,0.00038925918274281424,14.360788345336914
41,-0.17056403260678052,0.2086458357796073,0.0,0.7244743933528661,0.024901611544191838,0.00036749539548823013,15.766467332839966
42,-0.16843914803117513,0.20741324576549233,0.0,0.7259600082039833,0.02511283207219094,0.0003459984548730719,16.315253257751465
43,-0.168193522375077,0.20707735750824213,0.0,0.7246016177535057,0.024978126019705088,0.0003248116528748691,16.137591123580933
44,-0.16744981955736876,0.2067162270285189,0.0,0.7255091124773025,0.02477304421248846,0.0003039776568932507,16.635666847229004
45,-0.1691388744302094,0.2077638967707753,0.0,0.7250628819316626,0.025056079959031193,0.0002835637092397878,16.84942889213562
46,-0.16673290729522705,0.2062088895123452,0.0,0.7252789588272571,0.024753674742532893,0.00026355983073370667,16.477660179138184
47,-0.16800936492159962,0.20705751594156027,0.0,0.7253577935695649,0.02494652404333465,0.00024403211126244724,16.58468770980835
48,-0.1681884871982038,0.2071707488782704,0.0,0.7252114667743444,0.024746602872619407,0.00022501987705422625,16.556320190429688
49,-0.16452943364158273,0.20483128868974745,0.0,0.7259839434176684,0.024792925172951074,0.00020656141621854017,16.543110609054565
50,-0.16689615922048687,0.20644962058402597,0.0,0.726365312486887,0.024947952321963385,0.00018869390163901167,16.187480211257935
51,-0.16846072033047677,0.20728670043870806,0.0,0.7247830457985401,0.024872827451908962,0.00017147446092767867,16.226853370666504
52,-0.16610625652596356,0.2058147853054106,0.0,0.7255929817259311,0.02502677764859982,0.00015489467651070166,16.274121046066284
53,-0.16802952531725168,0.20716970881447197,0.0,0.7260473091900349,0.02484426580136642,0.00013902929698942333,16.283982276916504
54,-0.1671225617825985,0.2065225290786475,0.0,0.7256441263854504,0.024675957144936547,0.0001238705667110409,16.26103901863098
55,-0.16795050071552395,0.20698857528157533,0.0,0.7250496411323547,0.02477568407310173,0.00010946931105500855,16.28345012664795
56,-0.17080518448725343,0.2087530584447086,0.0,0.7240105626732111,0.024777123932726682,9.585453223365997e-05,16.20962429046631
57,-0.1699128657951951,0.2082654231134802,0.0,0.7249134188145399,0.024974179923301563,8.305364859965156e-05,16.748990535736084
58,-0.17037854867056013,0.20870220131240785,0.0,0.7258842510730028,0.025020999690750615,7.109243942904648e-05,17.884379386901855
59,-0.16708727529272438,0.20651727763935923,0.0,0.7257305178791285,0.02457465426530689,6.000831615790529e-05,18.737074851989746
60,-0.168398554045707,0.2072371872793883,0.0,0.724745377600193,0.024918513679876922,4.979586040896174e-05,19.037412643432617
61,-0.16844742288812994,0.2073366620298475,0.0,0.7251334114372731,0.024691151106962933,4.0490055882803966e-05,19.31088614463806
62,-0.16885899929329753,0.20760797646827997,0.0,0.7252256143838167,0.024921616070205346,3.210964323130662e-05,19.33632755279541
63,-0.17104008669033646,0.20895159212872386,0.0,0.7243219051510096,0.02477083616191521,2.4680202558778216e-05,17.966789484024048
64,-0.16931431027129293,0.20777377110905945,0.0,0.7242086990922689,0.024953965762397275,1.819810204775769e-05,16.624829292297363
65,-0.16644740549847484,0.20614183585159482,0.0,0.7262817303091288,0.024910008104052396,1.2686286439749542e-05,16.370287895202637
