sigma,rs_hybrid,outage,qos_viol_prob,ee
0.0,0.7890619249904857,0.5254655530690537,0.0,0.22846622490669455
0.05,0.7821622867413494,0.5268392343350383,0.0,0.22812648525323403
0.1,0.788164274771805,0.524796195652174,0.0,0.22993537421574067
0.15,0.7815520947851489,0.5252407688618926,0.0,0.2278939459634864
0.2,0.7851654062490634,0.5251108935421995,0.0,0.22942295594288564
