tau,Ps_max,Pr_max,rs_hybrid,ee,outage
0.1,2.0,2.0,0.6316213930201957,0.2952162991170688,0.5523397538363172
0.1,2.0,5.0,0.7082297744043647,0.2961375943916228,0.5226332720588235
0.1,2.0,10.0,0.7648625216825539,0.29094957226834944,0.5053298833120204
0.1,5.0,2.0,0.693513681516623,0.2340510824071172,0.5375389625959079
0.1,5.0,5.0,0.7640803241363877,0.24866403509741244,0.5092411285166241
0.1,5.0,10.0,0.8130849352882951,0.2504923796409841,0.4972476422634271
0.1,10.0,2.0,0.7499876362283516,0.202487267229868,0.5275635390025576
0.1,10.0,5.0,0.8095393705246089,0.21826805403013058,0.5049102861253197
0.1,10.0,10.0,0.8588447201892239,0.2281253079090582,0.49132832480818417
0.2,2.0,2.0,0.6056799470921002,0.29225549745895063,0.5661065377237852
0.2,2.0,5.0,0.6771167402377214,0.2933961919811376,0.5407558743606138
0.2,2.0,10.0,0.7322994537670594,0.29309831552035975,0.5221787084398977
0.2,5.0,2.0,0.6662533335063768,0.23392964160198446,0.55502217870844
0.2,5.0,5.0,0.7301248057419077,0.24858440527373263,0.5302159926470589
0.2,5.0,10.0,0.776174555349228,0.2542265930672741,0.5136069373401535
0.2,10.0,2.0,0.7135409540532495,0.20287593680879343,0.5480089114450127
0.2,10.0,5.0,0.7710256632941458,0.2186211628453506,0.5268542199488491
0.2,10.0,10.0,0.8122461206467865,0.22949090767699434,0.5113091432225064
0.30000000000000004,2.0,2.0,0.5717343268796916,0.28762272686299767,0.5897638267263428
0.30000000000000004,2.0,5.0,0.6388511976317677,0.2913557794087988,0.5630494725063938
0.30000000000000004,2.0,10.0,0.6822277892885915,0.2857324296937269,0.5488131393861893
0.30000000000000004,5.0,2.0,0.6255495478125179,0.2321260818816207,0.578030091112532
0.30000000000000004,5.0,5.0,0.684770344773217,0.24725057539122794,0.5554817375319693
0.30000000000000004,5.0,10.0,0.7290915874264124,0.25314299956611963,0.5408058264066496
0.30000000000000004,10.0,2.0,0.6737152405102235,0.20242714847597626,0.572885030370844
0.30000000000000004,10.0,5.0,0.7184524636744233,0.21841384577171882,0.554472706202046
0.30000000000000004,10.0,10.0,0.7586446081281013,0.2279552503696183,0.5396419437340153
0.4,2.0,2.0,0.5263696516413823,0.27598036661782227,0.6177919197570333
0.4,2.0,5.0,0.5785952534364618,0.27954133632390393,0.5967321371483376
0.4,2.0,10.0,0.622568731875066,0.27936660397388136,0.5815966671994884
0.4,5.0,2.0,0.5747533764528192,0.22626494267560027,0.6097146739130435
0.4,5.0,5.0,0.6226649099908521,0.24301040565113888,0.5891793877877238
